Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,57.94871794871794,55.64516129032258,57.69047619047619,62.47835497835497,52.916666666666664,13.448275862068964
6,61.153846153846146,56.29032258064517,60.460317460317455,62.77380952380952,56.166666666666664,16.89655172413793
7,58.84615384615385,60.16129032258065,56.492063492063494,73.5953987532935,57.416666666666664,23.793103448275865
8,57.243589743589745,59.83870967741937,55.777777777777786,75.77380952380952,54.48412698412699,22.758620689655174
9,60.384615384615394,52.741935483870975,66.13095238095238,52.46947496947497,53.48809523809523,17.241379310344826
10,62.884615384615394,54.03225806451612,71.29545454545455,54.256438006437996,58.527777777777786,18.96551724137931
11,62.884615384615394,52.25806451612904,60.317460317460316,49.59307359307359,63.7063492063492,22.758620689655174
12,69.2948717948718,50.64516129032258,72.35209235209234,42.02128427128427,65.88888888888889,13.448275862068964
13,70.06410256410257,49.03225806451612,71.85714285714285,40.37626262626263,63.031746031746025,16.551724137931036
14,69.2948717948718,49.03225806451612,73.28571428571428,39.748429588986866,65.38888888888889,17.241379310344833
15,73.97435897435898,47.096774193548384,73.19047619047618,34.308469308469306,72.24603174603175,15.172413793103448
16,76.15384615384616,47.096774193548384,76.8452380952381,32.86987522281639,74.4920634920635,14.482758620689657
17,72.37179487179488,54.354838709677416,70.49999999999999,51.383439659755446,68.24603174603175,29.31034482758621
18,73.14102564102565,55.16129032258065,71.83333333333334,53.03692386045327,68.24603174603175,30.0
19,75.64102564102565,53.87096774193549,75.47619047619047,50.243446096387274,70.24603174603175,29.31034482758621
20,78.0769230769231,54.032258064516135,77.89285714285714,51.063514400975706,73.49603174603175,28.62068965517242
21,77.30769230769232,54.677419354838705,76.22619047619047,52.54319811595353,73.49603174603175,30.3448275862069
22,78.01282051282053,53.064516129032256,75.40079365079364,49.83743961352657,76.17460317460316,35.51724137931034
23,74.87179487179488,53.38709677419355,71.17857142857142,50.33846870027715,74.92460317460316,30.0
24,74.93589743589745,53.22580645161289,71.13095238095238,49.880999633321615,74.92460317460316,29.655172413793103
25,78.78205128205128,54.516129032258064,76.44841269841268,52.29755761953904,76.17460317460316,31.379310344827587
26,76.41025641025642,53.54838709677419,72.40079365079364,50.44046201476542,76.17460317460316,30.344827586206897
27,74.87179487179488,53.87096774193549,71.17857142857142,51.066193008917466,74.92460317460316,31.03448275862069
28,74.74358974358974,51.12903225806452,72.61904761904762,44.389619883040936,69.17460317460316,23.793103448275865
29,72.43589743589743,49.83870967741935,71.14285714285714,41.863071783737425,68.67460317460316,22.06896551724138
30,72.43589743589743,50.967741935483865,71.97619047619048,43.637870299635004,66.67460317460316,23.448275862068968
31,72.43589743589743,50.0,71.97222222222221,42.130935541926256,66.67460317460316,23.448275862068968
32,72.43589743589743,51.61290322580645,73.78174603174604,44.16253680959563,66.49603174603175,23.44827586206896
33,73.91025641025641,53.22580645161291,79.39285714285714,48.30800653594771,66.35714285714286,23.103448275862068
34,75.64102564102565,50.96774193548387,83.55555555555556,43.930657312505474,67.92460317460316,27.241379310344826
35,77.24358974358975,50.806451612903224,84.80880230880231,43.68989898989899,69.78571428571429,26.89655172413793
36,77.24358974358975,49.99999999999999,84.80880230880231,41.545656019845005,69.78571428571429,23.448275862068964
37,77.24358974358975,50.80645161290323,81.2936507936508,44.9839466089466,71.17460317460316,27.586206896551722
38,75.7051282051282,51.774193548387096,81.07142857142857,45.45061226071456,68.81349206349206,31.379310344827587
39,75.7051282051282,52.41935483870967,82.0436507936508,47.98809523809524,67.56349206349206,32.758620689655174
40,75.7051282051282,51.774193548387096,81.07142857142857,47.076810909510456,68.81349206349206,30.344827586206897
41,76.41025641025642,52.09677419354839,80.32142857142858,47.097556390977445,69.17460317460316,27.931034482758623
42,76.41025641025642,52.741935483870975,80.57539682539684,47.80999066293184,69.4920634920635,25.17241379310345
43,76.41025641025642,53.064516129032256,82.00396825396827,48.74034350582338,68.06349206349208,26.551724137931036
44,74.80769230769232,53.548387096774185,77.17063492063491,49.898795348098744,68.06349206349208,28.965517241379313
45,76.41025641025642,54.19354838709677,78.3373015873016,49.35109610032211,70.06349206349208,27.241379310344833
46,74.80769230769232,54.03225806451612,77.30952380952381,50.38040176198071,68.81349206349208,27.931034482758623
47,74.74358974358975,54.677419354838705,77.50396825396824,52.40569561157796,66.81349206349208,26.551724137931036
48,73.2051282051282,54.67741935483872,75.14285714285714,52.314921189921186,66.81349206349208,27.931034482758623
49,72.37179487179488,57.09677419354839,72.1984126984127,56.74288851843031,67.92460317460318,33.103448275862064
50,73.97435897435898,57.258064516129025,78.0,56.946160049101216,66.81349206349208,33.79310344827586
51,75.57692307692308,58.225806451612904,80.0,58.72842645830262,68.06349206349208,35.51724137931034
52,73.97435897435898,57.74193548387096,76.33333333333333,57.664154472978,66.81349206349208,35.172413793103445
53,73.2051282051282,57.58064516129033,74.66666666666667,57.30979976336014,66.81349206349208,35.862068965517246
54,75.57692307692308,56.774193548387096,77.36111111111111,58.82281023070497,68.06349206349208,28.275862068965516
55,75.57692307692308,57.0967741935484,77.36111111111111,58.54539320328795,68.06349206349208,28.96551724137931
56,76.41025641025642,57.90322580645161,77.59920634920636,60.12370889344574,69.31349206349208,30.0
57,76.41025641025642,58.225806451612904,77.59920634920636,61.204961704961704,69.31349206349208,30.0
58,74.80769230769232,58.54838709677419,76.36111111111111,61.88546176046176,68.06349206349208,30.689655172413797
59,74.80769230769232,58.87096774193549,76.36111111111111,62.94640009113692,68.06349206349208,31.03448275862069
60,73.2051282051282,56.935483870967744,74.36111111111111,57.96998834498834,66.81349206349208,27.931034482758623
61,73.2051282051282,56.935483870967744,74.36111111111111,58.05328186306447,66.81349206349208,28.275862068965516
62,73.2051282051282,56.935483870967744,74.36111111111111,57.860974170756776,66.81349206349208,28.62068965517242
63,72.43589743589745,56.774193548387096,72.69444444444446,57.33324518618635,66.81349206349208,29.31034482758621
64,75.5769230769231,57.258064516129046,77.97619047619048,58.757201132201125,67.92460317460318,29.31034482758621
65,74.80769230769232,56.61290322580645,77.64285714285714,57.37987012987012,66.49603174603175,27.931034482758616
66,74.03846153846155,56.45161290322581,74.58333333333333,56.46674597332492,67.74603174603175,30.0
67,73.2051282051282,56.29032258064516,74.25,56.308899433899434,66.49603174603175,29.31034482758621
68,73.97435897435898,58.38709677419355,74.28571428571429,61.173786739576215,67.74603174603175,29.655172413793103
69,73.26923076923077,58.064516129032256,74.97619047619047,61.66972243442831,65.52380952380952,26.89655172413793
70,74.03846153846153,59.354838709677416,75.25396825396825,64.97756410256412,66.63492063492063,27.586206896551726
71,75.57692307692308,59.516129032258064,75.82539682539682,64.27510724569547,69.31349206349208,29.31034482758621
72,75.57692307692308,59.19354838709677,75.67063492063491,63.74535990325463,69.13492063492063,28.275862068965516
73,74.03846153846153,59.03225806451612,75.21428571428571,63.580219488114224,66.77380952380952,28.275862068965516
74,73.26923076923077,57.58064516129032,74.97619047619047,59.5048226627174,65.52380952380952,26.896551724137936
75,72.50000000000001,58.064516129032256,74.64285714285714,60.18326118326117,64.27380952380952,27.586206896551726
76,73.26923076923079,58.70967741935484,77.80952380952381,61.85506486977075,63.02380952380952,28.96551724137931
77,73.26923076923079,57.90322580645162,77.80952380952381,60.21040071040071,63.02380952380952,27.241379310344826
78,73.26923076923079,57.58064516129033,77.80952380952381,59.769841269841265,63.02380952380952,26.20689655172414
79,72.50000000000001,57.90322580645161,77.33333333333333,59.55419580419581,61.02380952380952,27.586206896551722
80,71.73076923076924,58.064516129032256,76.83333333333333,60.039405039405025,59.77380952380952,28.620689655172413
81,71.73076923076924,58.54838709677419,76.83333333333333,60.82367632367632,59.77380952380952,30.0
82,71.73076923076924,58.70967741935484,76.83333333333333,61.20246420246421,59.77380952380952,30.344827586206897
83,71.73076923076924,58.225806451612904,76.83333333333333,60.02010489510489,59.77380952380952,30.0
84,71.73076923076924,58.225806451612904,76.83333333333333,59.94055944055945,59.77380952380952,29.655172413793103
85,71.73076923076924,58.38709677419355,76.83333333333333,60.592074592074596,59.77380952380952,30.0
86,71.73076923076924,59.19354838709678,76.83333333333333,62.16258741258741,59.77380952380952,31.724137931034484
87,71.73076923076924,59.032258064516135,76.83333333333333,61.99592074592074,59.77380952380952,31.379310344827587
88,72.5,58.54838709677419,77.30952380952381,61.27750027750028,61.77380952380952,29.655172413793103
89,72.5,58.70967741935484,77.30952380952381,61.81196581196582,61.77380952380952,29.31034482758621
90,71.73076923076924,58.54838709677419,76.83333333333333,61.36752136752136,59.77380952380952,28.965517241379313
91,72.50000000000001,59.032258064516135,77.11111111111111,62.43317793317792,60.88492063492064,30.0
92,72.43589743589743,58.87096774193549,75.0873015873016,62.13014763014762,62.88492063492064,30.0
93,73.26923076923077,59.19354838709677,77.5873015873016,62.7968142968143,62.88492063492064,30.344827586206897
94,73.26923076923077,59.19354838709677,77.5873015873016,62.72105672105672,62.88492063492064,30.3448275862069
95,74.03846153846155,59.03225806451612,78.0873015873016,62.41802641802642,64.13492063492063,30.3448275862069
96,73.26923076923077,59.354838709677416,77.5873015873016,63.32711732711732,62.88492063492064,30.344827586206897
97,73.26923076923077,59.354838709677416,77.5873015873016,63.117327117327115,62.88492063492064,30.689655172413797
98,73.26923076923077,59.19354838709678,77.5873015873016,63.07597373386848,62.88492063492064,30.0
99,74.03846153846155,58.548387096774185,80.92063492063491,62.07380923170397,62.88492063492064,28.62068965517242
100,73.26923076923077,58.87096774193547,77.5873015873016,62.72055137844611,62.88492063492064,29.31034482758621
